Venue_Name,Address,Format,Price
Capital O 36457 Boulevard Madiwala,"Near Srinivasa Temple Road, Maruti Nagar, Bangalore",Kitchen  Buzzer/Door Bell  Attached Bathroom  (+ 17 more),1350
OYO Townhouse 106 Airport Road,"Near Kempegowda International Airport, Bangalore",First Aid  Daily Housekeeping  Toaster  (+ 15 more),2323
OYO 6145 The Hotel Nalanda,"Bommasandra, Bangalore",Kitchen  Bar  CCTV Cameras  (+ 9 more),850
OYO Townhouse 038 Banaswadi 100Ft Road,"Near NMPC Hospital, Banaswadi, Bangalore",Complimentary Breakfast  Parking Facility  In-house Restaurant  (+ 4 more),1569
OYO 4645 Span Suites,"Opposite Audi Showroom, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 13 more),811
OYO 15818 Om Sai Residency,"Near Sapthagiri Engineering College, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),1574
OYO Townhouse 076 Hebbal,"Mariyannapalya, Dasarahalli, Bangalore",Parking Facility  Kitchen  First Aid  (+ 13 more),1006
OYO Townhouse 149 Brigade Techpark Hebbal,"Near Bhuvaneswari Nagar, Bangalore",Not Available,1006
OYO 10232 Hotel Ashberry,"I Block, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),865
OYO 14320 The Pride,"Rachenahalli Main Rd P & T Layout, Bangalore",Parking Facility  Kitchen  First Aid  (+ 18 more),811
Collection O 22550 Meridien Suites,"Near Marathahalli Bus Stop, Marathahalli, Bangalore",CCTV Cameras  Card Payment  Power backup  (+ 1 more),1208
OYO 11916 Varcity Plaza,"Near Cross Road, Maruti Nagar, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 7 more),855
OYO 24093 Kp Suits,"Amarjyothi Layout, Bangalore",Kitchen  First Aid  Complimentary Veg Breakfast  (+ 14 more),1006
OYO 8846 Golden Amulya Deluxe,"Near IAF Post, Yelahanka, Bangalore",Elevator  Wheelchair Accessible  AC  (+ 12 more),1006
SPOT ON 29575 Hotel Surya International,"Near Reva University, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 8 more),927
OYO 11176 Hotel Tap Gold Crest,"Near Minerva Circle, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 11 more),811
OYO 10363 Sri Balaji Guest House,"Near Bata, Wilson Garden, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 9 more),811
OYO Townhouse 040 Global Village Tech Park,"Near BGS Hospital, RR Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),1006
Capital O 46693 7 Boulevard,"Karnataka 560075, Bangalore",In-house Restaurant  First Aid  Attached Bathroom  (+ 8 more),811
OYO Flagship 629 Bagmane Tech Park,"Near Ferns Paradise, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),1651
OYO 2235 Oh My Rooms Indranagar,"Cambridge Layout, Ulsoor, Bangalore",Elevator  Complimentary Breakfast  Kitchen  (+ 7 more),1277
OYO Townhouse 121 Kormangala 5th Block,"Near Forum Mall, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 15 more),1239
OYO 5345 Hotel Sai Rennaissance,"Near Whitefield Railway Station, Kadugodi, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),920
OYO 14430 Sunshine Grand,"Near BBMP Park, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 7 more),758
OYO 17247 Resside 11,"Near Byatrayanpura, Airport Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),811
Capital O 13184 Savi International,"Opposite Rajiv Gandhi Cicle, Sheshadripuram, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 15 more),1543
OYO 47003 Bangalore Days Hotel,"vidyaranyapura, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 8 more),781
